start,end
G4,G4
G4,G4
G4,G6
G5,G6
G4,G4
G1,G2
G5,G5
G3,G3
G3,G3
G2,G2
G3,G3
G2,G2
G6,G6
G3,G3
G2,G3
G4,G2
G6,G6
G2,G3
G5,G5
G1,G1
G2,G3
G5,G6
G5,G6
G4,G5
G3,G2
G4,G4
G5,G3
G3,G4
G5,G5
G5,G5
G4,G4
G4,G4
G7,G7
G3,G3
G5,G5
G6,G6
G4,G3
G5,G5
G1,G1
G6,G6
G2,G1
G7,G7
G7,G7
G3,G3
G2,G1
G2,G2
G4,G3
G5,G5
G4,G3
G5,G7
G3,G5
G2,G2
G1,G1
G4,G4
G2,G2
G7,G7
G1,G1
G4,G4
G5,G5
G2,G3
G6,G6
G6,G6
G5,G5
G5,G6
G3,G3
G7,G7
G5,G4
G5,G5
G6,G6
G5,G7
G7,G7
G3,G1
G2,G3
G4,G3
G6,G6
G2,G2
G3,G3
G4,G4
G4,G4
G3,G3
G7,G7
G2,G3
G3,G2
G4,G4
G4,G3
G2,G2
G3,G5
G6,G6
G7,G7
G4,G4
G6,G6
G2,G1
G3,G2
G2,G2
G4,G4
G5,G6
G2,G2
G6,G6
G6,G6
G4,G3
G4,G4
G4,G4
G6,G6
G4,G4
G3,G4
G2,G2
G4,G4
G2,G2
G5,G5
G7,G7
G4,G4
G3,G3
G4,G4
G7,G7
G3,G2
G1,G1
G1,G1
G7,G7
G4,G4
G2,G1
G6,G6
G7,G7
G4,G4
G6,G6
G3,G3
G1,G2
G1,G1
G1,G1
G3,G3
G6,G6
G6,G7
G7,G6
G6,G7
G7,G7
G4,G4
G4,G4
G4,G4
G2,G2
G6,G6
G6,G6
G6,G5
G2,G4
G2,G2
G6,G7
G2,G2
G3,G3
G5,G5
G7,G7
G6,G6
G4,G4
G6,G6
G5,G5
G5,G5
G3,G3
G6,G6
G4,G4
G4,G3
G6,G6
G2,G2
G5,G5
G4,G4
G6,G6
G3,G3
G2,G1
G2,G2
G1,G1
G2,G3
G4,G4
G1,G1
G4,G4
G5,G5
G6,G6
G1,G1
G2,G2
G3,G3
G3,G2
G5,G3
G3,G1
G2,G1
G2,G1
G3,G3
G6,G4
G4,G4
G4,G3
G1,G1
G4,G4
G6,G6
G4,G4
G4,G4
G2,G2
G6,G5
G4,G4
G2,G2
G4,G4
G3,G4
G5,G7
G2,G2
G4,G4
G4,G4
G5,G5
G6,G7
G2,G2
G5,G5
G4,G4
G2,G3
G1,G1
G5,G5
G1,G1
G4,G4
G3,G3
G4,G4
G1,G1
G5,G5
G2,G2
G2,G3
G1,G1
G1,G1
G2,G2
G1,G1
G6,G6
G2,G2
G4,G3
G3,G3
G6,G6
G2,G2
G1,G1
G4,G4
G6,G5
G2,G1
G3,G3
G7,G7
G2,G2
G1,G2
G2,G2
G4,G4
G4,G4
G1,G1
G4,G3
G2,G1
G2,G2
G4,G4
G7,G7
G4,G4
G3,G3
G3,G3
G4,G4
G6,G6
G7,G7
G4,G4
G4,G4
G7,G7
G2,G2
G3,G4
G4,G4
G7,G7
G2,G2
G5,G5
G1,G1
G3,G4
G4,G4
G2,G4
G6,G6
G4,G6
G4,G4
G3,G3
G6,G6
G4,G6
G2,G2
G1,G1
G7,G7
G1,G1
G4,G4
G2,G2
G6,G6
G5,G5
G2,G2
G6,G6
G2,G1
G2,G2
G3,G3
G3,G2
G6,G6
G3,G2
G1,G1
G6,G6
G3,G3
G5,G5
G4,G4
G3,G3
G6,G7
G5,G5
G5,G5
G7,G7
G2,G1
G1,G1
G4,G4
G2,G2
G7,G7
G2,G2
G3,G3
G5,G4
G4,G3
G3,G3
G4,G4
G6,G6
G7,G7
G3,G3
G5,G6
G5,G5
G3,G3
G3,G3
G3,G3
G2,G3
G2,G2
G5,G5
G1,G1
G4,G4
G2,G3
G4,G4
G6,G6
G5,G5
G3,G3
G1,G1
G5,G7
G4,G4
G7,G7
G2,G2
G5,G5
G2,G2
G3,G3
G4,G4
G7,G7
G4,G4
G2,G1
G1,G1
G1,G1
G4,G4
G6,G6
G4,G4
G4,G4
G6,G6
G5,G6
G2,G2
G3,G3
G3,G3
G4,G3
G5,G5
G4,G4
G6,G6
G7,G7
G1,G1
G3,G3
G4,G5
G5,G5
G3,G3
G6,G4
G2,G2
G5,G5
G3,G4
G2,G2
G3,G3
G3,G3
G3,G3
G5,G6
G3,G2
G3,G3
G3,G3
G4,G4
G1,G1
G6,G6
G4,G4
G4,G4
G4,G4
G2,G2
G4,G4
G5,G5
G2,G2
G1,G1
G3,G3
G2,G2
G4,G4
G3,G3
G3,G3
G3,G4
G4,G4
G2,G2
G4,G4
G3,G3
G6,G6
G4,G4
G3,G3
G5,G5
G2,G3
G6,G6
G7,G7
G5,G5
G3,G3
G1,G1
G4,G4
G3,G1
G4,G4
G2,G2
G2,G1
G4,G3
G1,G1
G7,G7
G3,G3
G2,G2
G6,G6
G7,G7
G3,G3
G7,G7
G7,G7
G5,G4
G1,G1
G5,G5
G5,G5
G3,G3
G6,G6
G3,G3
G7,G7
G2,G2
G6,G6
G3,G3
G6,G6
G4,G3
G2,G2
G6,G6
G4,G4
G3,G3
G5,G5
G5,G5
G4,G5
G6,G6
G6,G6
G1,G1
G1,G1
G6,G6
G1,G1
G5,G4
G1,G1
G7,G6
G3,G3
G4,G4
G2,G2
G7,G5
G5,G5
G4,G3
G5,G5
G3,G3
G5,G5
G5,G3
G5,G5
G3,G1
G7,G7
G4,G4
G4,G4
G7,G7
G1,G2
G4,G4
G3,G3
G4,G4
G1,G1
G5,G5
G4,G4
G4,G4
G4,G3
G1,G1
G6,G6
G4,G4
G3,G1
G4,G3
G1,G1
G5,G5
G4,G4
G4,G4
G1,G1
G2,G3
G4,G4
G2,G3
G6,G6
G3,G1
G5,G7
G5,G5
G3,G2
G3,G4
G5,G5
G3,G3
G2,G2
G7,G7
G6,G6
G4,G3
G3,G2
G2,G2
G4,G4
G4,G4
G1,G1
G1,G1
G4,G4
G3,G3
G6,G6
G3,G3
G7,G7
G6,G6
G2,G2
G3,G3
G1,G1
G6,G6
G6,G6
G5,G7
G5,G5
G1,G1
G6,G6
G5,G7
G4,G4
G3,G3
G2,G2
G5,G5
G2,G2
G3,G3
G4,G4
G7,G7
G5,G5
G3,G3
G3,G4
G3,G4
G7,G7
G1,G1
G5,G5
G4,G4
G5,G4
G4,G3
G4,G4
G5,G5
G3,G3
G1,G1
G3,G3
G3,G3
G3,G2
G5,G5
G7,G7
G4,G4
G1,G1
G4,G3
G7,G7
G5,G6
G2,G2
G3,G2
G3,G3
G5,G6
G3,G4
G4,G4
G3,G3
G3,G3
G2,G2
G2,G2
G3,G3
G3,G3
G4,G4
G6,G6
G5,G6
G7,G6
G5,G5
G5,G5
G4,G4
G4,G4
G2,G2
G4,G4
G4,G3
G4,G4
G2,G3
G1,G1
G2,G2
G2,G2
G2,G2
G6,G6
G2,G2
G3,G3
G6,G5
G4,G3
G4,G4
G3,G2
G6,G6
G1,G1
G1,G1
G4,G5
G4,G5
G4,G5
G3,G2
G3,G3
G3,G3
G5,G5
G5,G5
G4,G4
G4,G4
G4,G4
G2,G2
G5,G5
G4,G4
G3,G3
G4,G3
G3,G5
G3,G3
G3,G3
G6,G6
G2,G2
G7,G7
G2,G2
G6,G6
G3,G3
G2,G2
G4,G4
G3,G3
G3,G3
G4,G4
G2,G2
G3,G2
G2,G2
G5,G5
G2,G2
G5,G7
G4,G4
G1,G1
G5,G5
G5,G5
G1,G1
G1,G1
G2,G2
G4,G4
G2,G2
G2,G2
G5,G5
G1,G1
G1,G2
G2,G2
G7,G7
G7,G7
G4,G4
G2,G2
G6,G6
G7,G7
G2,G1
G3,G3
G3,G3
G4,G4
G5,G5
G6,G5
G1,G1
G2,G2
G5,G4
G7,G7
G6,G6
G6,G6
G2,G2
G5,G5
G6,G6
G4,G4
G2,G2
G4,G4
G6,G5
G2,G3
G2,G2
G1,G1
G2,G2
G3,G3
G2,G2
G1,G3
G6,G6
G4,G4
G4,G2
G2,G2
G3,G3
G7,G7
G4,G5
G4,G4
G4,G4
G6,G6
G5,G5
G4,G4
G3,G4
G7,G7
G3,G3
G3,G3
G3,G3
G6,G5
G7,G7
G2,G3
G6,G6
G4,G4
G2,G1
G3,G4
G6,G6
G2,G2
G4,G4
G4,G4
G3,G3
G1,G1
G3,G3
G2,G2
G4,G4
G1,G1
G3,G3
G5,G5
G2,G3
G2,G2
G4,G4
G3,G3
G3,G3
G2,G2
G4,G4
G7,G7
G5,G7
G6,G5
G6,G6
G5,G5
G7,G7
G6,G6
G7,G7
G3,G4
G3,G3
G7,G6
G4,G4
G1,G1
G3,G4
G1,G1
G7,G7
G4,G4
G2,G2
G6,G7
G3,G3
G2,G3
G6,G6
G4,G4
G1,G1
G5,G5
G5,G5
G5,G6
G2,G3
G1,G1
G4,G4
G2,G2
G5,G5
G4,G4
G1,G3
G1,G1
G6,G5
G3,G3
G5,G5
G4,G5
G6,G6
G6,G6
G1,G1
G1,G1
G5,G5
G3,G3
G3,G3
G1,G2
G5,G5
G1,G1
G6,G7
G4,G4
G3,G5
G5,G3
G4,G5
G3,G3
G5,G4
G3,G2
G4,G4
G7,G7
G3,G3
G6,G6
G4,G4
G1,G2
G3,G4
G6,G6
G5,G5
G5,G5
G3,G2
G3,G5
G2,G3
G2,G2
G3,G3
G5,G5
G7,G7
G1,G1
G3,G3
G2,G2
G6,G7
G2,G3
G3,G3
G3,G3
G7,G7
G2,G2
G3,G3
G1,G1
G4,G4
G2,G2
G4,G4
G4,G4
G6,G6
G4,G4
G5,G6
G2,G2
G5,G5
G1,G1
G4,G4
G6,G6
G4,G4
G7,G7
G1,G1
G1,G1
G5,G5
G4,G4
G4,G4
G4,G5
G4,G2
G1,G2
G2,G2
G5,G4
G1,G1
G5,G6
G2,G2
G1,G1
G4,G4
G4,G4
G1,G2
G3,G3
G3,G3
G3,G3
G2,G2
G5,G5
G1,G1
G5,G4
G2,G2
G7,G7
G1,G1
G3,G3
G4,G4
G5,G4
G2,G1
G4,G4
G5,G5
G5,G5
G5,G4
G5,G5
G7,G7
G5,G5
G4,G4
G5,G6
G4,G4
G4,G4
G3,G3
G4,G4
G5,G5
G2,G1
G3,G2
G4,G3
G6,G6
G7,G7
G4,G4
G5,G5
G3,G2
G3,G3
G3,G3
G5,G4
G3,G5
G5,G5
G5,G5
G6,G5
G3,G3
G2,G2
G6,G6
G3,G3
G4,G4
G7,G7
G3,G4
G3,G3
G3,G4
G3,G4
G5,G5
G3,G3
G7,G7
G5,G5
G3,G2
G3,G3
G4,G4
G7,G7
G3,G3
